DATA_SOURCE,STATION,NAME,DATE,YEAR,TEMP,PRCP,GUST_MAX,GUST_MIN,WDSP,FRSHTT,DEWP,SEASON
historical,99999993820,"LEXINGTON BLUEGRASS AIRPORT, KY US",1948-01-01,1948,53.5,99.99,64.0,37.9,19.9,10000,47.3,Winter
historical,99999993820,"LEXINGTON BLUEGRASS AIRPORT, KY US",1948-01-02,1948,29.1,99.99,35.1,26.1,19.2,111000,27.8,Winter
historical,99999993820,"LEXINGTON BLUEGRASS AIRPORT, KY US",1948-01-03,1948,29.4,99.99,30.9,28.0,6.2,111000,28.6,Winter
historical,99999993820,"LEXINGTON BLUEGRASS AIRPORT, KY US",1948-01-04,1948,32.4,99.99,35.1,30.0,12.8,111000,29.6,Winter
historical,99999993820,"LEXINGTON BLUEGRASS AIRPORT, KY US",1948-01-05,1948,30.9,99.99,34.0,28.0,7.9,1000,27.8,Winter
historical,99999993820,"LEXINGTON BLUEGRASS AIRPORT, KY US",1948-01-06,1948,34.3,99.99,42.1,30.0,9.2,1000,26.0,Winter
historical,99999993820,"LEXINGTON BLUEGRASS AIRPORT, KY US",1948-01-07,1948,31.8,0.0,42.1,23.0,8.7,0,21.8,Winter
historical,99999993820,"LEXINGTON BLUEGRASS AIRPORT, KY US",1948-01-08,1948,41.4,0.0,55.9,32.0,12.2,0,27.9,Winter
historical,99999993820,"LEXINGTON BLUEGRASS AIRPORT, KY US",1948-01-09,1948,49.8,99.99,55.9,37.0,16.6,10000,42.2,Winter
historical,99999993820,"LEXINGTON BLUEGRASS AIRPORT, KY US",1948-01-10,1948,32.6,0.0,37.9,26.1,7.4,0,24.3,Winter
historical,99999993820,"LEXINGTON BLUEGRASS AIRPORT, KY US",1948-01-11,1948,29.3,0.0,39.9,19.9,7.5,0,19.1,Winter
historical,99999993820,"LEXINGTON BLUEGRASS AIRPORT, KY US",1948-01-12,1948,36.2,99.99,42.1,32.0,10.7,111000,29.2,Winter
historical,99999993820,"LEXINGTON BLUEGRASS AIRPORT, KY US",1948-01-13,1948,30.5,99.99,35.1,23.0,11.1,111000,27.8,Winter
historical,99999993820,"LEXINGTON BLUEGRASS AIRPORT, KY US",1948-01-14,1948,14.1,99.99,19.9,10.9,12.0,1000,7.5,Winter
historical,99999993820,"LEXINGTON BLUEGRASS AIRPORT, KY US",1948-01-15,1948,17.2,0.0,35.1,5.0,13.5,0,8.7,Winter
historical,99999993820,"LEXINGTON BLUEGRASS AIRPORT, KY US",1948-01-16,1948,29.2,99.99,34.0,21.0,12.1,1000,18.9,Winter
