"STATION","NAME","DATE","AWND","DAPR","FMTM","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-08-20",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-08-21",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-08-22",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-08-23",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-08-24",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-08-25",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-08-26",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-08-27",,,,,,"0.12","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-08-28",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-08-29",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-08-30",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-08-31",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-09-01",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-09-03",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-09-04",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-09-05",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-09-06",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-09-07",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-09-08",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-09-09",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-09-10",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-09-11",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-09-23",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-09-24",,,,,,"0.00","0.0",,,,,,,,
"US1KYJS0002","NICHOLASVILLE 1.2 SSW, KY US","2008-09-25",,,,,,"0.00","0.0",,,,,,,,
