STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN,DATA_SOURCE,YEAR
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-01,0.0,48.0,58.0,38.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-02,0.25,58.0,64.0,52.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-03,2.05,61.0,68.0,53.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-04,0.08,42.0,57.0,27.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-05,0.0,29.0,32.0,25.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-06,0.0,35.0,47.0,23.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-07,0.0,35.0,46.0,23.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-08,0.02,32.0,43.0,21.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-09,0.06,44.0,49.0,38.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-10,0.01,48.0,53.0,42.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-11,0.0,43.0,50.0,35.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-12,0.0,44.0,59.0,28.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-13,0.07,43.0,57.0,29.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-14,0.0,26.0,32.0,20.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-15,0.0,37.0,52.0,22.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-16,0.0,42.0,54.0,29.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-17,0.18,26.0,32.0,19.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-18,0.05,27.0,30.0,24.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-19,0.09,29.0,32.0,25.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-20,0.01,23.0,33.0,12.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-21,0.0,12.0,20.0,4.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-22,0.02,22.0,28.0,15.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-23,0.0,30.0,31.0,28.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-24,0.0,19.0,29.0,9.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-25,0.0,13.0,22.0,4.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-26,0.0,17.0,24.0,10.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-27,0.0,11.0,19.0,3.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-28,0.0,18.0,26.0,9.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-29,0.5,28.0,33.0,22.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-30,0.01,29.0,33.0,24.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-01-31,0.0,25.0,28.0,21.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-02-01,0.0,26.0,32.0,20.0,dailies,2000
USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",2000-02-02,0.0,22.0,30.0,13.0,dailies,2000
